"id","geom","grupo"
1,POINT (-4.1595158504073995 37.11813573748061),5
2,POINT (-4.274885580425737 37.368294831228944),4
3,POINT (-3.7822673891458773 37.62915904295599),3
4,POINT (-3.8362987663031944 37.43199170857874),4
5,POINT (-3.5421855102461826 38.22261212001605),2
6,POINT (-4.074878967309272 38.34110535326554),1
