"id","geom"
1,MULTIPOINT ((349184.1525999997 4165657.446900001))
2,MULTIPOINT ((342695.9512 4190510.9113))
3,MULTIPOINT ((233981.1634999998 4088218.5922999997))
4,MULTIPOINT ((234293.3481999999 4086523.809699999))
5,MULTIPOINT ((283483.86930000037 4111379.6393))
6,MULTIPOINT ((278787.7251000004 4176326.7376000006))
7,MULTIPOINT ((265601.92420000024 4149805.6959000006))
8,MULTIPOINT ((520240.76680000033 4248020.333900001))
9,MULTIPOINT ((441792.27699999977 4158065.8904999997))
10,MULTIPOINT ((431343.83100000024 4183404.5857999995))
11,MULTIPOINT ((117981.33829999994 4130907.274599999))
12,MULTIPOINT ((113797.49780000001 4129859.1919))
13,MULTIPOINT ((467269.09300000034 4100537.2431000005))
14,MULTIPOINT ((382488.7337999996 4231193.6842))
15,MULTIPOINT ((392309.06740000006 4151004.2267000005))
16,MULTIPOINT ((362433.2114000004 4189572.3356999997))
17,MULTIPOINT ((361189.87320000026 4152232.7249999996))
18,MULTIPOINT ((328867.0575000001 4171296.3100000005))
19,MULTIPOINT ((354975.5817999998 4155254.1141999997))
20,MULTIPOINT ((314841.09920000006 4127702.2204))
21,MULTIPOINT ((347835.0839999998 4057411.8983999994))
22,MULTIPOINT ((364199.9583999999 4059261.8881))
23,MULTIPOINT ((345446.86980000045 4170032.4212999996))
24,MULTIPOINT ((390155.5937999999 4064215.654100001))
25,MULTIPOINT ((347731.49289999995 4075041.3399))
26,MULTIPOINT ((385267.8905999996 4205164.846999999))
27,MULTIPOINT ((541765.8028999995 4075276.3187000006))
28,MULTIPOINT ((557689.2176000001 4134752.1520000007))
29,MULTIPOINT ((600283.3776000002 4124782.1041))
30,MULTIPOINT ((579490.9187000003 4134293.6962))
31,MULTIPOINT ((615507.9561999999 4139698.3128999993))
32,MULTIPOINT ((578635.6010999996 4134600.0950000007))
33,MULTIPOINT ((562109.4091999996 4124072.6801999994))
34,MULTIPOINT ((352806.8958999999 4195485.9574))
35,MULTIPOINT ((357040.83270000014 4151857.2675))
36,MULTIPOINT ((503313.1723999996 4077372.8093999997))
37,MULTIPOINT ((561270.1458999999 4151293.676999999))
38,MULTIPOINT ((492553.9315999998 4179680.2632))
39,MULTIPOINT ((528983.8273999998 4225526.4507))
40,MULTIPOINT ((498110.1808000002 4190090.0459000003))
41,MULTIPOINT ((468485.0080000004 4206555.5481))
42,MULTIPOINT ((418126.2410000004 4190917.1488000005))
43,MULTIPOINT ((466845.1196999997 4253509.666999999))
44,MULTIPOINT ((413140.4298999999 4180920.7862))
45,MULTIPOINT ((432798.07830000017 4171926.0965))
46,MULTIPOINT ((347489.00189999957 4166689.0200999994))
47,MULTIPOINT ((330311.04399999976 4172644.2885))
48,MULTIPOINT ((171533.86170000024 4147508.092700001))
49,MULTIPOINT ((312973.7746000001 4229065.7184))
50,MULTIPOINT ((256358.28980000038 4000513.3017999995))
51,MULTIPOINT ((442801.5203999998 4097463.4012))
52,MULTIPOINT ((447417.0744000003 4093550.0429999996))
53,MULTIPOINT ((452131.2438000003 4086947.926000001))
54,MULTIPOINT ((220101.96380000003 4031889.6097))
55,MULTIPOINT ((213431.90830000024 4041374.6614999995))
56,MULTIPOINT ((215179.21559999976 4040695.3927999996))
57,MULTIPOINT ((475758.27419999987 4070920.0657))
58,MULTIPOINT ((453591.34020000044 4071076.3588999994))
59,MULTIPOINT ((396916.3052000003 4171599.0228000004))
60,MULTIPOINT ((331809.42569999956 4172983.6623))
61,MULTIPOINT ((360325.92870000005 4244611.533399999))
62,MULTIPOINT ((289895.6966000004 4240466.649599999))
63,MULTIPOINT ((303631.6755999997 4177642.5078))
64,MULTIPOINT ((214025.6431 4058578.7902000006))
65,MULTIPOINT ((367827.74289999995 4172928.9027999993))
66,MULTIPOINT ((285790.08779999986 4008498.758300001))
67,MULTIPOINT ((227993.81450000033 4018236.3094999995))
68,MULTIPOINT ((208725.45100000035 4047086.842599999))
69,MULTIPOINT ((208724.99590000045 4047098.8693000004))
70,MULTIPOINT ((312230.37679999974 4116918.9762999993))
71,MULTIPOINT ((239381.68960000016 4127146.3968))
72,MULTIPOINT ((260109.7586000003 4150342.3027999997))
73,MULTIPOINT ((285936.7503000004 4150467.0392000005))
74,MULTIPOINT ((254454.86369999964 4200358.8037))
75,MULTIPOINT ((260685.90809999965 4163976.7529000007))
76,MULTIPOINT ((227076.7586000003 4152113.208799999))
77,MULTIPOINT ((238490.89360000007 4158173.7360999994))
78,MULTIPOINT ((206318.5800999999 4162329.1361999996))
79,MULTIPOINT ((293526.7441999996 4115815.1229))
80,MULTIPOINT ((284010.5423999997 4141664.5449))
81,MULTIPOINT ((267064.47059999965 4106741.972100001))
82,MULTIPOINT ((352504.26219999976 4048276.759299999))
83,MULTIPOINT ((518200.3069000002 4111164.366800001))
84,MULTIPOINT ((310586.8865 4056271.3652999997))
85,MULTIPOINT ((558557.7680000002 4103610.0714))
86,MULTIPOINT ((601628.0892000003 4121869.0516999997))
87,MULTIPOINT ((552889.9808999998 4077773.265900001))
88,MULTIPOINT ((608910.8475000001 4130598.1838000007))
89,MULTIPOINT ((554699.0740999999 4078149.7007999998))
90,MULTIPOINT ((554692.9577000001 4078160.8362000007))
91,MULTIPOINT ((544319.5129000004 4076242.4164000005))
92,MULTIPOINT ((518078.29000000004 4111181.7697))
93,MULTIPOINT ((533793.2744000005 4080695.660599999))
94,MULTIPOINT ((462638.1376 4208617.9867))
95,MULTIPOINT ((457770.8964999998 4197723.8938))
96,MULTIPOINT ((528609.4998000003 4251952.6998))
97,MULTIPOINT ((520706.9316999996 4247189.574200001))
98,MULTIPOINT ((500340.08220000006 4223978.310900001))
99,MULTIPOINT ((497223.83380000014 4190063.157299999))
100,MULTIPOINT ((486458.84279999975 4232698.612500001))
101,MULTIPOINT ((462798.85670000035 4170644.6702999994))
102,MULTIPOINT ((406023.84750000015 4180802.4255999997))
103,MULTIPOINT ((399434.6939000003 4173974.366800001))
104,MULTIPOINT ((391200.8496000003 4205289.1493999995))
105,MULTIPOINT ((165073.18460000027 4202635.9033))
106,MULTIPOINT ((186463.08000000007 4199430.1426))
107,MULTIPOINT ((161063.74199999962 4144905.4997000005))
108,MULTIPOINT ((449604.4210000001 4147909.385))
109,MULTIPOINT ((315683.39919999987 4226780.6501))
110,MULTIPOINT ((450327.63570000045 4140961.8521999996))
111,MULTIPOINT ((469221.4166000001 4066492.9411999993))
112,MULTIPOINT ((456733.13939999975 4079423.792300001))
113,MULTIPOINT ((471306.5235000001 4100815.9725))
114,MULTIPOINT ((463128.95889999997 4062836.4924999997))
115,MULTIPOINT ((441183.6383999996 4121499.530200001))
116,MULTIPOINT ((441894.6635999996 4122511.9284000006))
117,MULTIPOINT ((466092.9473000001 4139988.5513000004))
118,MULTIPOINT ((385088.87320000026 4246086.839299999))
119,MULTIPOINT ((324551.8997999998 4217585.999))
120,MULTIPOINT ((428297.6473000003 4123402.1531000007))
121,MULTIPOINT ((327086.69039999973 4239438.3245))
122,MULTIPOINT ((293445.7282999996 4248387.7191))
123,MULTIPOINT ((301288.9402999999 4239779.0054))
124,MULTIPOINT ((342590.69689999986 4139337.8417000007))
125,MULTIPOINT ((393545.09729999956 4145501.7119999994))
126,MULTIPOINT ((357904.4473000001 4159082.1006000005))
127,MULTIPOINT ((394668.4587000003 4157128.8450000007))
128,MULTIPOINT ((372097.42009999976 4128821.2136000004))
129,MULTIPOINT ((382353.5844999999 4119916.774700001))
130,MULTIPOINT ((344494.93379999977 4136659.5693999995))
131,MULTIPOINT ((222129.15070000011 4027825.6994000003))
132,MULTIPOINT ((247934.43030000012 4217511.735400001))
133,MULTIPOINT ((242751.68479999993 4133173.7755999994))
134,MULTIPOINT ((316802.4933000002 4168814.9902))
135,MULTIPOINT ((304348.9643000001 4132811.8057000004))
136,MULTIPOINT ((282230.5367999999 4191819.8707999997))
