"id","geom","peso"
1,"MULTILINESTRING ((285266.5828999998 4006926.0615, 285315.32189999986 4007021.994000001, 285602.9628999997 4007226.5516, 285855.29289999977 4007600.0315000005, 285992.0729 4007919.5416, 286204.12289999984 4008413.3016, 286381.29289999977 4008824.8115, 286467.5527999997 4009269.101500001, 286550.5729 4009694.7015000004, 286646.4628999997 4010186.3215999994, 286738.4829000002 4010655.9814999998, 286668.1327999998 4011238.5216000006, 286229.2028000001 4011709.9014999997, 284885.9029000001 4013154.3314999994, 284561.5329 4013503.7016000003, 284262.9528999999 4013555.1415, 283967.2028999999 4013606.5014999993, 283680.54279999994 4013656.6916000005, 283380.8426999999 4013855.2996999994, 283279.18510000035 4014021.648600001, 283229.8964999998 4014111.6001999993))",
2,"MULTILINESTRING ((111318.66820000019 4128208.3073999994, 111318.16700000037 4128208.3038999997, 111317.66839999985 4128208.3003000002))",
3,"MULTILINESTRING ((247017.0943 4141519.0463999994, 246846.3322999999 4141549.5056999996, 246792.2076000003 4141619.2971, 246652.98500000034 4141718.073000001, 246639.2478 4141815.5704999994, 246555.91700000037 4141840.424900001, 246555.92150000017 4141840.4235999994, 246555.4293999998 4141840.5703))",
4,"MULTILINESTRING ((287111.7655999996 4046333.5363, 287110.7814999996 4046333.713300001))",
5,"MULTILINESTRING ((546880.7417000001 4087544.8465, 546880.5044999998 4087545.2864999995, 546864.8180999998 4087574.3900000006, 546952.3302999996 4087631.1724999994, 547070.7435999997 4087708.6818000004, 547072.7188999997 4087709.9748), (547072.7188999997 4087709.9748, 547053.5562000005 4087469.572899999, 547021.2399000004 4087058.3297000006, 547000.8760000002 4086799.2577, 547187.2308999998 4086404.1819, 547273.4464999996 4086089.9980999995, 547359.6522000004 4085775.8242000006, 547445.8679 4085461.6401000004, 547551.0126 4085078.4352, 547625.3918000003 4085009.0336000007, 547588.7356000002 4084897.1680999994, 547588.5800000001 4084896.6931))",
6,"MULTILINESTRING ((246496.2422000002 4066498.939099999, 246516.42360000033 4066535.9191999994, 246578.9578999998 4066650.5194000006, 246661.91359999962 4066802.559699999, 246731.6183000002 4066930.3099000007, 246805.25329999998 4067065.2601999994, 246867.6875 4067179.680400001, 246938.91229999997 4067310.2105, 247003.18670000043 4067428.0007000007, 247022.5878999997 4067463.560799999, 247102.65330000035 4067610.301000001, 247187.07880000025 4067765.0314000007, 247269.25399999972 4067915.6417999994, 247351.00930000003 4068065.462099999, 247438.79480000027 4068226.352499999, 247489.71810000017 4068319.6828000005, 247543.79150000028 4068418.773, 247620.80640000012 4068559.9233, 247635.86280000024 4068749.795600001, 247648.7982999999 4068915.0275999997, 247663.92480000015 4069106.7499, 247674.53089999966 4069288.9321999997, 247692.8724999996 4069515.7458999995, 247714.8766999999 4069816.7445, 247719.98709999956 4070067.5319, 247688.52180000022 4070238.3409, 247709.30599999987 4070330.8857000005, 247743.10120000038 4070487.9142000005, 247750.5460000001 4070631.0188999996, 247762.7603000002 4070710.1394999996, 247762.83660000004 4070710.6338), (247866.50370000023 4070739.8651, 247873.02560000028 4070709.9104999993, 247763.3367999997 4070710.6305, 247762.83660000004 4070710.6338))",
7,"MULTILINESTRING ((347906.45889999997 4062811.4977, 347841.94880000036 4062821.6691999994, 347678.43039999995 4063223.2194999997, 347612.7511 4063384.4397, 347443.5729 4063799.7600999996, 347189.7355000004 4064422.8211000003, 346948.358 4065015.5221999995, 346770.6492999997 4065451.6741000004, 346615.9598000003 4065831.5771999992, 346480.00019999966 4066165.3900000006, 346352.3605000004 4066478.7227, 346219.35089999996 4066805.3156000003, 346017.8613 4067300.0402000006, 345939.0716000004 4067493.7720999997, 345876.46190000046 4067729.8532999996, 345802.0122999996 4068010.4048999995, 345701.31290000025 4068389.8671000004, 345518.2940999996 4069080.1314000003, 345470.7143000001 4069259.3323999997, 345409.49459999986 4069490.083900001, 345311.2451999998 4069860.4864000008, 345148.30599999987 4070474.660599999, 345191.0680999998 4071136.2781000007, 345208.06900000013 4071399.347100001, 345234.6895000003 4071811.1410000008, 345257.0396999996 4072156.6556, 345281.0599999996 4072528.2704000007, 345297.2701000003 4072779.593699999, 345314.3903000001 4073044.4771999996, 345331.8605000004 4073314.8807999995, 345361.8108999999 4073778.0568000004, 345377.2410000004 4074016.9999, 345388.16110000014 4074185.9521999992, 345414.50150000025 4074593.5776000004, 345450.2218000004 4075146.5648, 345467.7520000003 4075417.2884, 345503.2424999997 4075966.8556999993, 345528.1227000002 4076351.4606999997, 345547.7429999998 4076655.4147999994, 345575.41330000013 4077083.340399999, 345660.75380000006 4077445.8632999994, 345739.2642999999 4077779.2271, 345813.1344999997 4078093.0821, 345862.31460000016 4078302.0153, 345951.50490000006 4078680.5513000004, 345997.8547 4079318.2644999996, 346021.0345999999 4079636.721000001, 346050.3546000002 4080040.0193000007, 346170.68489999976 4080350.0327000003, 346371.5954999998 4080868.3483000007, 346669.7468999997 4080812.4678000007, 346736.0773 4080813.5874000005, 346736.5772000002 4080813.595899999))",
8,"MULTILINESTRING ((204927.16530000046 4063460.7223000005, 204878.1327999998 4063492.0747999996, 205202.9707000004 4063601.715399999, 205479.4489000002 4064019.4163000006, 205628.6277999999 4064408.6075, 205775.15469999984 4064598.2304999996, 205998.5915000001 4064883.3279999997, 206242.58189999964 4065196.2721999995, 206402.36909999978 4065402.4705999997, 206560.16720000003 4065604.0277999993, 206675.53220000025 4065796.3028999995, 206890.3498999998 4066021.7288000006, 207130.36220000032 4066326.7168000005, 207308.85670000035 4066604.8039999995, 207518.53830000013 4066954.588300001, 207701.2137000002 4067267.2443000004, 207868.66619999986 4067542.4284000006, 208105.50989999995 4067943.0835999995, 208264.42360000033 4068210.2682000007, 208453.35790000018 4068530.9784999993, 208624.71100000013 4068819.4373000003, 208764.56290000025 4069051.6152999997, 208932.35699999984 4069336.5628999993, 209074.53409999982 4069656.326300001, 209212.0455 4069965.1072000004, 209341.16509999987 4070253.8620999996, 209507.85720000044 4070631.1127000004, 209646.32230000012 4070942.9451, 209810.3443 4071310.659499999, 210003.16550000012 4071742.0755000003, 210171.3833999997 4072119.3259999994, 210313.47219999973 4072439.5503000002, 210461.41949999984 4072770.6437999997, 210400.27300000004 4073074.8104, 210319.79430000018 4073475.1536, 210235.858 4073888.385399999))",
9,"MULTILINESTRING ((546977.8256000001 4087445.1536, 546978.0712000001 4087444.717, 546978.4730000002 4087444.002699999, 546987.0853000004 4087428.6933999993, 546986.9342999998 4087424.0200999994, 546966.8496000003 4086802.9859999996, 546966.8158999998 4086801.9481000006, 547025.9616999999 4086502.4748, 547084.8874000004 4086203.9913999997, 547143.8233000003 4085905.5080999993, 547202.7490999997 4085607.024700001, 547238.8657 4085373.6421000008, 547257.2539999997 4085255.3808999993, 547257.3140000002 4085254.980900001, 547307.2193999998 4084932.407299999, 547354.6250999998 4084626.513800001), (547354.6250999998 4084626.513800001, 547355.7221999997 4084619.274700001, 547361.8543999996 4084578.8133000005, 547400.1808000002 4084325.7904000003, 547419.7390000001 4084199.7990000006, 547531.7488000002 4083483.4209000003, 547587.8636999996 4083124.536699999, 547674.4358999999 4082570.440199999, 547668.7928999998 4082289.0777000003, 547663.7901999997 4082038.8154000007, 547454.1035000002 4081482.9937999994, 547403.4118999997 4081348.7434, 547190.3548999997 4080783.9619999994, 547087.7115000002 4080511.531300001, 546924.8662 4080080.3104, 546924.7275 4080079.2563000005, 546879.0322000002 4079731.838199999, 546806.966 4079191.7749000005, 546731.9737999998 4078628.1383999996, 546731.6295999996 4078625.5515, 546831.9379000003 4078408.3977000006, 546822.5948999999 4078393.6301000006, 546822.3277000003 4078393.207699999))",
10,"MULTILINESTRING ((435690.6780000003 4124775.1359, 435762.56269999966 4124802.8814000003, 436137.2926000003 4124805.5013999995, 436517.76269999985 4124809.1713999994, 436934.70270000026 4124813.5013999995, 437142.45270000026 4124702.6514, 437313.4425999997 4124411.4714, 437530.5725999996 4124042.6313000005, 437645.2226999998 4123848.601399999, 437709.0426000003 4123444.771299999, 437761.9626000002 4123113.4814, 437832.96270000003 4122670.771299999, 437899.0926000001 4122196.8614000008, 437999.13269999996 4121618.5714, 438101.57270000037 4121025.8313999996, 438180.80260000005 4120566.8313999996, 438218.7427000003 4120349.9814, 438429.9227 4120532.1314000003, 438721.26269999985 4120681.5514, 439022.8225999996 4120652.861300001, 439308.3252999997 4120626.2345000003, 439680.12260000035 4120590.3313999996, 439961.0203999998 4120355.7688999996, 440192.4927000003 4120163.3814000003, 440411.0427000001 4119854.3614000008, 440547.4826999996 4119371.5012999997, 440668.2078 4118945.9860999994, 440794.2312000003 4118500.2474000007, 440931.6127000004 4118016.5614, 440781.95270000026 4117712.941299999, 440739.4486999996 4117320.2107999995, 440696.1057000002 4116882.7520000003, 440655.5937999999 4116500.2216, 440609.49060000014 4116051.6975999996, 440567.3326000003 4115626.848200001, 440524.0729 4115216.865599999, 440476.53270000033 4114763.8814000003, 440434.176 4114336.818600001, 440326.40139999986 4113990.982000001, 440200.33889999986 4113571.792300001, 440061.62569999974 4113115.0035999995, 439930.1326000001 4112681.9748, 439920.8903000001 4112228.4453999996, 439911.9578999998 4111789.6060000006, 439908.20270000026 4111341.5813999996, 440394.15270000044 4111187.9913, 440434.30819999985 4111223.4386))",
11,"MULTILINESTRING ((551293.7709999997 4074621.974300001, 551293.7477000002 4074621.4474, 551292.8342000004 4074600.8430000003, 550887.4199000001 4074618.831700001, 550852.9342 4074620.9384000003, 550653.2067999998 4076909.6428999994, 550652.7697999999 4076915.5810000002, 550653.3749000002 4076916.312000001, 550655.2659 4076919.392999999, 550656.6749 4076922.789999999, 550657.4249999998 4076925.648, 550657.8499999996 4076928.637, 550657.8660000004 4076932.1281000003, 550657.3890000004 4076935.5632000007, 550656.2670999998 4076939.314200001, 550654.5900999997 4076942.7722999994, 550652.2641000003 4076946.0813999996, 550650.3810999999 4076947.9773999993, 550645.0866999999 4077019.782400001, 550645.5217000004 4077020.5054, 550646.7687999997 4077023.4284000006, 550647.5458000004 4077026.3983999994, 550647.8767999997 4077028.874399999, 550647.9387999997 4077031.2314999998, 550647.7578999996 4077033.5525, 550647.3359000003 4077035.8475, 550646.6419000002 4077038.181500001, 550645.7078999998 4077040.386600001, 550644.6829000004 4077042.2656999994, 550643.2928999998 4077044.2886999995, 550642.2438000003 4077045.5087, 550637.6102 4077093.8893999998, 550634.4445000002 4077127.389799999, 550634.9445000002 4077128.286800001, 550636.0895999996 4077133.3839, 550636.0445999997 4077138.7849000003, 550634.1585999997 4077144.7071, 550632.5887000002 4077147.0231, 550628.9380000001 4077185.6666, 550628.2170000002 4077193.6867999993, 550679.1610000003 4077209.2558999993, 550698.9983999999 4077215.0255999994, 550707.1595999999 4077217.5865, 550706.3126999997 4077228.4365999997, 550688.0462999996 4077226.9869999997, 550682.0652000001 4077226.5121))",
