"id","geom"
49,POINT (265804.8806234821 4154508.82611427)
50,POINT (445947.7622826487 4111268.146547751)
51,POINT (394209.2886531878 4143448.9911760013)
52,POINT (373864.54196257086 4115777.5094060143)
53,POINT (606705.7444397024 4124807.3929716353)
54,POINT (305701.4790445786 4066871.0614387677)
55,POINT (443826.6706550022 4219124.798319164)
56,POINT (286346.6594394105 4009400.5222937427)
57,POINT (341189.52875873423 4193864.124585796)
58,POINT (157294.20518597896 4127162.950456552)
59,POINT (340383.801123815 4193192.218819168)
60,POINT (333278.6595402113 4218281.184476856)
61,POINT (517471.38350728067 4071502.325246213)
62,POINT (503556.5421569106 4091242.9392406866)
63,POINT (153430.74509402688 4123209.105063364)
64,POINT (246029.3140399572 4137931.4394416767)
65,POINT (346920.70541702246 4119743.9283529785)
66,POINT (312586.6736557356 4237362.7770376075)
67,POINT (111318.44632437323 4128208.305850589)
68,POINT (223606.86951989573 4136941.464194955)
69,POINT (264392.8439253891 3995172.7155906833)
70,POINT (349362.24980664265 4200298.630390093)
71,POINT (432600.70366514544 4181588.9140902935)
72,POINT (331163.6752446892 4053367.9793205247)
73,POINT (423800.6304041306 4122457.423079036)
74,POINT (235745.43338862486 4136924.7788908686)
75,POINT (384192.2619541569 4237057.787382491)
76,POINT (545537.3425334148 4087392.4589006444)
77,POINT (566258.9235402754 4135642.0925353956)
78,POINT (491136.6939183826 4122045.579790525)
79,POINT (270030.3900381365 4162013.4927395983)
80,POINT (550653.4411596172 4076916.4199565738)
81,POINT (159039.7010573736 4133783.233049932)
82,POINT (101364.02143128718 4165912.7152160285)
83,POINT (371217.3395999572 4085541.806250696)
84,POINT (283257.7376753987 4014109.84732814)
85,POINT (323487.2199679851 4153532.3876696313)
86,POINT (571774.5647220594 4088311.5148239736)
87,POINT (229795.7376612367 4133982.21899641)
88,POINT (330390.4350324579 4044873.395602773)
89,POINT (235940.59774322712 4144870.9654415236)
90,POINT (247718.95593547382 4070016.9286066373)
91,POINT (239438.63289089268 4151129.9525349108)
92,POINT (126746.26761559951 4137799.932062419)
93,POINT (228434.55178677916 4152752.357425162)
94,POINT (150807.0059262349 4126073.764299029)
95,POINT (348972.84504794324 4110764.2294339775)
96,POINT (235292.85119851012 4132798.8033514665)
97,POINT (243373.6513541422 4135907.8938509575)
98,POINT (371247.99700444535 4138159.6874463)
99,POINT (279620.8787421337 4011108.361865968)
100,POINT (351267.2800191773 4198948.978843205)
101,POINT (441179.39811828756 4121273.5753898486)
102,POINT (347873.1129056193 4062774.356513277)
103,POINT (286766.16236293485 4176251.4058921146)
104,POINT (158333.76925877045 4132107.211140743)
105,POINT (344423.00412873 4084611.265032575)
106,POINT (232322.35255424862 4141736.2009489196)
107,POINT (245700.023364127 4064626.7175183683)
108,POINT (340397.50315961445 4041750.9537946745)
109,POINT (232826.0574372038 4107898.146754819)
110,POINT (282042.5061811001 4007062.05004914)
111,POINT (363449.1471242376 4061465.040437769)
112,POINT (337584.0966089248 4119678.2927084393)
113,POINT (245660.1662332146 4138974.667871155)
114,POINT (447827.4312152671 4111485.3471550914)
115,POINT (232787.43686340444 4173109.0620139595)
116,POINT (304123.06082935573 4252602.089986686)
117,POINT (123185.8401078259 4144205.840879529)
118,POINT (514546.7405317344 4070011.058174787)
119,POINT (169165.30565759467 4176105.555346572)
120,POINT (351324.9664432073 4194806.589856248)
121,POINT (127210.65948564126 4136099.284597625)
122,POINT (430429.1437202593 4204411.551914739)
123,POINT (352419.040386138 4127887.5757078445)
124,POINT (305570.495557363 4033517.7662153095)
125,POINT (225453.79768741684 4175714.716200285)
126,POINT (302512.2947578179 4032369.5373342657)
127,POINT (451643.61232984235 4065332.563256875)
128,POINT (232649.79039579016 4142741.0356058553)
129,POINT (245822.27180501536 4140346.121726034)
130,POINT (320843.35564214236 4042058.445334333)
131,POINT (154223.6463409301 4121840.8380157067)
132,POINT (378475.54875490075 4159813.3989470853)
133,POINT (359117.01144567446 4122947.3078787173)
134,POINT (245907.85253181317 4072659.660659375)
135,POINT (231179.13325099798 4188535.1912339055)
136,POINT (312261.79290584003 4145204.9209515597)
137,POINT (157902.73940891493 4136706.7977540325)
138,POINT (413048.044066815 4224444.136435025)
139,POINT (403621.33179517864 4209495.361862894)
140,POINT (228020.29758850255 4092391.9221205506)
141,POINT (315009.1508548084 4164600.330457824)
142,POINT (237972.9142545951 4141962.0027286913)
143,POINT (287111.04400629824 4046333.666085678)
144,POINT (231149.36560360028 4146332.599430955)
145,POINT (370225.7448845193 4061090.0780795636)
146,POINT (390511.3244782709 4221163.165663153)
147,POINT (212142.1640571623 4054411.2792669344)
148,POINT (281675.88890662335 4012810.2993547274)
149,POINT (369103.9250811615 4105689.8035243764)
150,POINT (229107.06749210315 4150603.70753158)
151,POINT (550437.0380533376 4078159.9521425455)
152,POINT (228159.783269544 4082902.7916481365)
