"id","geom","peso"
1,"MULTILINESTRING ((216002.5943 4132702.7507000007, 216017.03419999965 4133055.7859000005, 216643.3370000003 4133711.6801999994, 216613.1436999999 4134606.8781000003, 217292.84379999992 4134955.571900001, 217248.24959999975 4135658.369999999))",
2,"MULTILINESTRING ((408711.98869999964 4210270.973200001, 408718.1289999997 4210271.0252, 408719.0628000004 4210227.2544, 408719.09169999976 4210227.2557, 408793.40720000025 4210230.608200001, 408858.03550000023 4210246.1899999995, 408885.26800000016 4210252.755799999, 408885.90139999986 4210250.2751, 408889.08829999994 4210239.8127999995, 408893.03920000046 4210229.6143, 408893.6158999996 4210228.292400001, 408896.61290000007 4210221.9276, 408893.79899999965 4210219.678200001, 408892.10649999976 4210222.069))",
