"id","geom","fid"
130,POINT (347313.188805525 4051438.6017730203),131
131,POINT (281703.1124953478 4007437.0545003903),132
132,POINT (155502.93474054825 4123114.730671916),133
133,POINT (131749.7945476672 4134947.479650229),134
134,POINT (246865.91969700457 4067694.7159108515),135
135,POINT (240747.3849197719 4067096.8450295245),136
136,POINT (575960.7240714608 4138847.0368424696),137
137,POINT (431184.88929563144 4182959.131119923),138
138,POINT (593125.774760308 4124828.750922545),139
139,POINT (366739.4238240842 4056845.111551867),140
140,POINT (374956.27943815547 4066222.1591610145),141
141,POINT (223877.567212134 4068691.425967404),142
142,POINT (236790.4485147026 3979027.8278113594),143
143,POINT (375479.8802887498 4067326.6703716116),144
144,POINT (190486.28248436956 4126684.9463034025),145
145,POINT (343214.86112609017 4137050.804341649),146
146,POINT (440580.85697931424 4103710.919154855),147
147,POINT (554209.7413135679 4134809.941318772),148
148,POINT (313240.7213255762 4159104.4444234925),149
149,POINT (348408.36696007336 4114487.274926716),150
150,POINT (252664.80469422558 4119282.9612899995),151
151,POINT (278792.11794367287 4008434.0667247097),152
152,POINT (446716.79096035386 4215330.806841579),153
153,POINT (477863.5335057676 4212125.161782214),154
154,POINT (420008.4795431274 4180434.9831889276),155
155,POINT (301435.69009757845 4174678.1390866),156
156,POINT (208227.7679020998 4061457.1950465655),157
157,POINT (238832.83354989102 4144162.433276184),158
158,POINT (269741.39664673136 4008248.4089454175),159
159,POINT (364806.9480332122 4055293.4040303617),160
160,POINT (576201.9899555384 4053273.951299005),161
161,POINT (369711.5387385022 4068286.998705064),162
162,POINT (493749.90413542057 4231045.1732524745),163
163,POINT (357102.31686492165 4197532.854899182),164
164,POINT (568163.2246671056 4137915.147817551),165
165,POINT (413131.90983109805 4174540.0344989887),166
166,POINT (372477.75307593064 4068919.250408958),167
167,POINT (431802.4069606678 4215935.801827478),168
168,POINT (241140.0857569672 3988446.1346984096),169
169,POINT (524492.9717738148 4151592.056089476),170
170,POINT (570500.4657218292 4079465.808880806),171
171,POINT (287798.71825629973 4143759.514959433),172
172,POINT (242537.46494649968 3997778.289486967),173
173,POINT (620802.018232664 4030182.719922027),174
174,POINT (455464.08993150986 4230259.4007324185),175
175,POINT (349830.67964966944 4046431.371299166),176
176,POINT (123242.84147057327 4131417.3709975122),177
177,POINT (149859.00129522354 4127590.8213284547),178
178,POINT (263445.6944629869 4004016.254429529),179
179,POINT (346898.3044290354 4201299.310398464),180
180,POINT (414104.4275062514 4173848.3844287707),181
181,POINT (353978.10158190783 4093886.269583554),182
182,POINT (280098.63874155085 4009478.365906781),183
183,POINT (241394.84384137846 4132025.1816751864),184
184,POINT (243489.71619181905 4140565.0300771766),185
185,POINT (353392.1899807385 4045778.556710718),186
186,POINT (264432.1277099644 4003454.394947389),187
187,POINT (545317.3461843461 4136566.750734362),188
188,POINT (445478.69432646706 4118516.0451996233),189
189,POINT (278089.64755579806 4004742.612658217),190
190,POINT (191956.6379192214 4122424.563474806),191
191,POINT (285249.3510274247 4007134.334581111),192
192,POINT (230778.96173579304 4068012.031109424),193
193,POINT (128490.10504210049 4134153.8215786857),194
194,POINT (368938.8966071878 4062030.7652337467),195
195,POINT (575662.6119136924 4141400.885311136),196
196,POINT (332813.9767822534 4210762.201201753),197
197,POINT (310747.9708383176 4037794.2949536894),198
198,POINT (335246.55768257903 4127305.4129945156),199
199,POINT (439303.32267429825 4103422.9092519977),200
200,POINT (575970.0608726892 4139916.7235310855),201
201,POINT (252356.66005458325 4009209.190951382),202
202,POINT (268799.4453264049 4007733.9270140883),203
203,POINT (309894.8369625707 4036190.745547018),204
204,POINT (328039.93022373295 4044557.580307071),205
205,POINT (247599.56414934722 4063614.008071971),206
206,POINT (315471.8169341057 4157940.329855391),207
207,POINT (346555.32339547225 4057164.830888316),208
208,POINT (344485.95870952815 4137967.6940263826),209
209,POINT (363194.78034656186 4099206.305073784),210
210,POINT (559913.4617917417 4072098.7398280865),211
211,POINT (329936.36706503923 4212480.086938399),212
212,POINT (150603.4977971767 4124963.4032106427),213
213,POINT (121135.23041092625 4127709.819556342),214
214,POINT (573857.7253454133 4138270.698710325),215
215,POINT (363440.668039975 4143011.551204041),216
