"id","geom","fid"
571,POINT (333955.85420531407 4145056.140222912),572
572,POINT (238372.07029749345 3981931.400192993),573
573,POINT (338885.8354838615 4135908.527174818),574
574,POINT (239760.98963091112 4033214.5207170006),575
575,POINT (592262.7178282337 4148387.4467888004),576
576,POINT (165920.86394671779 4113124.808071131),577
577,POINT (566492.6429530825 4059387.3567535086),578
578,POINT (425693.4016318225 4214435.648805189),579
579,POINT (344991.2516215333 4043743.0298244674),580
580,POINT (240546.71352381734 4128496.568070381),581
581,POINT (438492.13920592365 4226849.759219243),582
582,POINT (342536.337429353 4191154.570394881),583
583,POINT (519323.5909689445 4152521.587385545),584
584,POINT (141657.39204729715 4091031.8503824454),585
585,POINT (379619.6046128567 4067937.604004917),586
586,POINT (443308.02973120566 4213444.975677745),587
587,POINT (303440.5297621144 4173470.264970071),588
588,POINT (428155.07592168037 4182539.15958462),589
589,POINT (273418.11608293955 4138061.8176042656),590
590,POINT (387423.2538939248 4180107.399238876),591
591,POINT (336280.38347347843 4147460.355077101),592
592,POINT (315220.3035965531 4221259.492934487),593
593,POINT (428676.8409837595 4190433.4272097643),594
594,POINT (454438.80258700106 4229036.861532229),595
595,POINT (211789.34099240508 4130860.926127216),596
596,POINT (364036.3295504337 4112183.321099628),597
597,POINT (215005.56916041073 4057563.820884643),598
598,POINT (337544.42144190817 4132280.096143031),599
599,POINT (418694.6674747663 4154091.6368648876),600
600,POINT (271811.88785284053 4008718.1136851106),601
601,POINT (353342.01657085604 4107561.8846716676),602
602,POINT (129282.72713485446 4136207.532122485),603
603,POINT (218793.77640744753 4059132.4938671635),604
604,POINT (561335.450560698 4068120.3288540356),605
605,POINT (350480.0193475173 4148253.9558596574),606
606,POINT (349612.2109304667 4154264.1350138867),607
607,POINT (471620.8336069469 4211610.998671074),608
608,POINT (238566.49127346638 4066968.1317585623),609
609,POINT (334837.73888523644 4045046.852138966),610
610,POINT (158868.92352062967 4136545.7144778487),611
611,POINT (313218.59444317926 4127479.5938617787),612
612,POINT (354371.021050753 4199814.647518552),613
613,POINT (362901.01801902684 4206797.355799714),614
614,POINT (358517.11083594395 4111639.783790064),615
615,POINT (347183.9495056013 4045527.0511136698),616
616,POINT (353396.52603567153 4111064.8434903743),617
617,POINT (250301.9044499367 4009046.9013076564),618
618,POINT (593989.7044756465 4044094.2772006975),619
619,POINT (428221.32311048603 4187574.387260068),620
620,POINT (359202.1284314637 4065336.0287647466),621
621,POINT (241254.18786882787 3990125.7441620925),622
622,POINT (361286.4783353178 4197517.838482901),623
623,POINT (267256.156676436 4003222.7005406013),624
624,POINT (242355.18683671896 3995912.1836004904),625
625,POINT (148350.8732271133 4096105.1799602034),626
626,POINT (311243.52838076686 4038740.1612523445),627
627,POINT (352741.6012108292 4089110.771533927),628
628,POINT (237535.74573961346 4066658.607383905),629
629,POINT (126310.87951792733 4131943.2015261105),630
630,POINT (234102.6579422265 3973600.3245366155),631
631,POINT (346038.07932454994 4056038.137616237),632
632,POINT (444733.92831731634 4115166.3284413945),633
633,POINT (324583.43552579405 4044291.4294387265),634
634,POINT (443317.86589786795 4231565.844296091),635
635,POINT (312818.44236387714 4125322.7288230145),636
636,POINT (162247.78353520867 4120327.817407311),637
637,POINT (572682.5516343773 4055489.934868645),638
638,POINT (242925.11925263182 4117561.345603516),639
639,POINT (320616.0299031479 4136268.7532916847),640
640,POINT (170499.74759542884 4125317.3363827127),641
641,POINT (437021.99331848935 4211165.107774865),642
642,POINT (222761.376390472 4135940.8829577183),643
643,POINT (353881.2080906254 4091800.563353537),644
644,POINT (562120.8104724691 4066699.173142814),645
645,POINT (322554.33200050995 4043690.615676666),646
646,POINT (321823.7280291447 4042605.6509406646),647
647,POINT (590245.2154448174 4045908.9534811014),648
648,POINT (412896.62259582226 4171154.3189620664),649
649,POINT (349585.7571488186 4077888.686653017),650
650,POINT (143256.49873328843 4092243.8946132567),651
651,POINT (367173.3995007923 4221949.091653667),652
652,POINT (499846.8019823749 4226175.950930546),653
653,POINT (241546.86834723325 4047510.748020121),654
654,POINT (364380.08650815696 4140392.5800769585),655
655,POINT (591454.1756381624 4130446.9533671536),656
656,POINT (456098.2071498228 4203380.5496262135),657
657,POINT (440422.88328772574 4228745.7834803965),658
658,POINT (427799.1939314627 4203286.437460411),659
659,POINT (138158.34646305192 4100516.2345980005),660
660,POINT (279732.64911680593 4113386.061285374),661
661,POINT (281691.9636996936 4112534.1807369115),662
662,POINT (359733.28270446765 4111732.1845955327),663
663,POINT (563237.450009292 4064678.547145297),664
664,POINT (621328.3089433387 4029130.115978597),665
665,POINT (368974.1333722281 4229824.114144605),666
666,POINT (591322.7158505892 4155179.9069534657),667
667,POINT (236020.88125982456 4127670.089851287),668
668,POINT (295643.8880432627 4119012.2725702156),669
669,POINT (583547.1941824171 4049154.9879094157),670
670,POINT (245646.55635690625 4066836.797546323),671
671,POINT (297647.36883599334 4234430.157491878),672
672,POINT (136715.42369642778 4100732.066564181),673
673,POINT (428423.6274515398 4204722.16950732),674
674,POINT (308432.79337501124 4227127.539857599),675
675,POINT (456681.5005137476 4204475.062798644),676
676,POINT (250094.40427016516 4140931.6743488074),677
677,POINT (559438.4763000675 4073513.2287297426),678
678,POINT (265011.17073645454 4135448.505375266),679
679,POINT (515474.94068252767 4150244.09797273),680
680,POINT (350210.33960661717 4081123.4147344846),681
681,POINT (349685.8306098876 4147035.1176183005),682
682,POINT (244298.92092846203 4000046.7901706244),683
683,POINT (354093.28248678363 4103133.3092393093),684
684,POINT (289549.4157275473 4239384.60293449),685
685,POINT (113685.32147286591 4129802.4689142234),686
686,POINT (342878.8694970674 4043829.9133676984),687
687,POINT (571914.6493583214 4079218.5874434793),688
688,POINT (451738.75988389575 4221487.275837081),689
689,POINT (584747.632128234 4140641.127810823),690
690,POINT (150345.91712246597 4139939.593445822),691
691,POINT (314385.45079179475 4158628.6004274795),692
692,POINT (562022.0054562261 4077842.6605115836),693
693,POINT (579621.4055411875 4051120.9461703147),694
694,POINT (358459.16715351655 4143067.0112242554),695
695,POINT (198164.63400190003 4065089.8871353706),696
696,POINT (493538.6944319027 4230036.58569433),697
697,POINT (321506.79073773813 4215723.739981078),698
698,POINT (558223.7916719755 4077130.513795422),699
699,POINT (163474.90201736262 4116142.2447467693),700
700,POINT (565774.6479439009 4060087.3358022836),701
701,POINT (326391.2980724072 4045150.1145491027),702
702,POINT (404492.5803448311 4176967.414925696),703
703,POINT (286329.8132642536 4241252.587122412),704
704,POINT (148390.44100935772 4140450.2429661816),705
705,POINT (363969.99692941067 4066514.5507697873),706
706,POINT (336328.4502013006 4208331.9313258985),707
707,POINT (228953.73709555838 4133062.974672505),708
708,POINT (562067.4602171514 4136743.240822189),709
709,POINT (283859.83329674596 4142086.5906253997),710
710,POINT (268341.2336754402 4100811.1218699096),711
711,POINT (243605.6116197733 4132585.631926816),712
712,POINT (375996.6551822977 4198491.107243725),713
713,POINT (227243.71681025738 4132459.9368912773),714
714,POINT (436921.4292399062 4119676.150874646),715
715,POINT (592118.1052590087 4157132.1236975887),716
716,POINT (307947.28085656476 4126356.3425744153),717
717,POINT (362602.0969014333 4112125.4811839373),718
718,POINT (350290.05053124035 4142721.4817297827),719
719,POINT (350528.8324224605 4182355.1056471276),720
720,POINT (237667.80181219865 4141996.3660514043),721
721,POINT (335611.576417638 4169090.612295751),722
722,POINT (232565.99090013842 3971221.254765773),723
723,POINT (595017.792320438 4121784.6304259067),724
724,POINT (259869.1112317345 4148842.450693894),725
725,POINT (240755.38680758994 4141314.800346527),726
726,POINT (269752.6555653366 4154449.486193082),727
727,POINT (232318.39792692082 4130751.2118164543),728
728,POINT (244154.6958995698 4138769.1707691676),729
729,POINT (367359.19912944577 4225283.363743858),730
730,POINT (613657.1091067794 4034562.9439834342),731
731,POINT (387917.0978536694 4197610.397569644),732
732,POINT (245006.86438394053 4021747.8182146978),733
733,POINT (494564.0935493239 4130966.362653739),734
734,POINT (345734.8450776516 4156093.8181993067),735
735,POINT (448487.65986574034 4209380.610188609),736
736,POINT (380364.86092470103 4156440.0848358003),737
737,POINT (245148.99572634546 4139376.2094830875),738
738,POINT (267720.6435950067 4005501.511531846),739
739,POINT (350848.31769105775 4084093.214998761),740
740,POINT (438073.1747850513 4211620.859091206),741
741,POINT (128882.66473928625 4101903.688362271),742
742,POINT (204775.54753635277 4129187.931605302),743
743,POINT (407680.8756878603 4177111.3255647765),744
744,POINT (117066.72501684914 4130765.6811833773),745
745,POINT (409226.7220489129 4206337.11019594),746
746,POINT (238869.369440323 4142339.3735032245),747
747,POINT (329782.22342672345 4143702.169237318),748
748,POINT (558796.9409288707 4136087.8438364044),749
749,POINT (135582.12071681512 4136045.740073086),750
750,POINT (582488.6109799508 4049668.0047222665),751
751,POINT (325164.30895694107 4139866.302487337),752
752,POINT (145595.0518788562 4099403.8543729982),753
753,POINT (351229.5054282623 4149003.024092486),754
754,POINT (147146.78453865836 4099171.746654762),755
755,POINT (222413.29275198182 4060930.100128888),756
756,POINT (242007.05308112354 4141164.3151059584),757
757,POINT (336892.3011253687 4129863.715080259),758
758,POINT (139453.22129957812 4100322.5475979825),759
759,POINT (278761.4288651779 4245051.691254931),760
760,POINT (299653.3376341998 4168324.4081854913),761
761,POINT (344119.10825648764 4143262.1983332587),762
762,POINT (592622.9484786314 4110952.529889283),763
763,POINT (143966.91873590322 4099647.390053199),764
764,POINT (352337.47707220237 4199303.993016553),765
765,POINT (304448.6643584191 4172513.5038537625),766
766,POINT (342158.3998606196 4144277.6133588),767
767,POINT (589270.3662615394 4132570.179375065),768
768,POINT (225705.70945977705 4131768.7677514353),769
769,POINT (593533.3325917855 4145841.0466269874),770
770,POINT (153674.7677540201 4136712.5197992735),771
771,POINT (420598.53303848254 4149092.3418894233),772
772,POINT (615602.4412927498 4033620.185666793),773
773,POINT (159988.86869931102 4106976.817714405),774
774,POINT (565278.9270252301 4060984.3724401137),775
775,POINT (504387.0084729821 4139315.533627726),776
776,POINT (295770.34899012494 4235000.510465334),777
777,POINT (345913.6100632834 4054988.9937676573),778
778,POINT (156257.73178079192 4136398.3104253123),779
779,POINT (549706.2765217646 4134127.675199469),780
780,POINT (453234.2299829292 4078818.2161974725),781
781,POINT (127934.53475518525 4133001.4951924193),782
782,POINT (342009.27279192884 4187568.4203867116),783
783,POINT (246415.18359861057 4071720.265439663),784
784,POINT (351517.8891329282 4064963.9767435137),785
785,POINT (449753.6721971221 4066518.019405044),786
786,POINT (588181.6161905659 4136339.29131921),787
787,POINT (454944.33206737734 4202001.261405354),788
788,POINT (134384.13857920168 4135703.8727868777),789
789,POINT (365495.6310397144 4213869.741698771),790
790,POINT (361597.36420029704 4067413.5460569826),791
791,POINT (325011.13198979327 4180812.153715706),792
792,POINT (484071.55618406355 4217257.0211551525),793
793,POINT (327401.7525323541 4164119.1918956228),794
794,POINT (540318.0310844586 4138989.711540515),795
795,POINT (232019.72071190082 4139139.3279197966),796
796,POINT (447504.10836023616 4070749.28126586),797
797,POINT (493952.33244204184 4229012.609368297),798
798,POINT (137696.97802606496 4088030.0513104377),799
799,POINT (115861.4228438521 4130468.588986929),800
800,POINT (213715.96942918815 4132383.086839657),801
801,POINT (353969.7711470051 4100372.9731260366),802
802,POINT (365607.25273361965 4216684.621879684),803
803,POINT (338722.8889157482 4045997.9468534715),804
804,POINT (315022.18421328627 4131641.1250100136),805
805,POINT (453547.19522009627 4226978.8767981),806
806,POINT (273104.36536812375 4155398.5045823785),807
807,POINT (283165.5432044624 4009197.4770125477),808
808,POINT (414733.32808909647 4209866.549899917),809
809,POINT (316428.8957255375 4161114.107129459),810
810,POINT (370164.61177419976 4114854.52182925),811
811,POINT (594149.4587942531 4123259.3209877186),812
812,POINT (234415.15414378283 4139663.815087776),813
813,POINT (414046.9131199469 4166262.0778252287),814
814,POINT (440915.45946693665 4213321.77964208),815
815,POINT (138507.14163748446 4088644.1154875397),816
816,POINT (362950.4795388455 4205146.967817679),817
817,POINT (421895.38295246864 4212524.3067046255),818
818,POINT (319554.0246541257 4217209.717571703),819
819,POINT (581302.5519348914 4139730.2379922383),820
820,POINT (180981.28505415772 4125930.4955257275),821
821,POINT (591363.9017002273 4149245.532294582),822
822,POINT (215057.3645798534 4133110.20226879),823
823,POINT (467226.7911974752 4241820.332635569),824
824,POINT (468608.89393160807 4251874.843325157),825
825,POINT (233582.74122142352 3972722.0046904203),826
826,POINT (267484.3069575944 4136160.418684398),827
827,POINT (447590.8808332668 4217606.815491977),828
828,POINT (346217.94485366886 4044521.5838751616),829
829,POINT (523914.6994962512 4152867.7465377785),830
830,POINT (335490.06580213376 4140302.2147944407),831
831,POINT (225050.18484266681 4065608.560489452),832
832,POINT (473021.7233525922 4211774.140188707),833
833,POINT (590770.7984776144 4152261.378482911),834
834,POINT (551937.8615339275 4134662.0639900886),835
835,POINT (247161.80015833364 4127729.9917913857),836
836,POINT (336739.47712950705 4045299.6510311663),837
837,POINT (618326.1972993457 4032300.183023419),838
838,POINT (291446.6477221221 4145173.63798987),839
839,POINT (516680.4982977736 4151645.5995924324),840
840,POINT (371240.8505483962 4191587.099331489),841
841,POINT (415929.84275995026 4211057.577461131),842
842,POINT (431110.7487771179 4208677.756582595),843
843,POINT (329230.22466654953 4044499.622073133),844
844,POINT (349932.6565122777 4079566.0306482366),845
845,POINT (586150.1204945694 4047893.5424626777),846
846,POINT (405415.14770548797 4203549.1849301215),847
847,POINT (370141.63038327824 4232773.9597559115),848
848,POINT (362906.9197523219 4195118.336911624),849
849,POINT (241828.81432475988 3992853.9725698284),850
850,POINT (317067.6207280011 4219834.660973259),851
851,POINT (355711.12130198156 4198901.305175814),852
852,POINT (589200.3478466928 4139683.9951287066),853
853,POINT (354115.29086145875 4046493.490562705),854
854,POINT (571058.3756039103 4056512.5831065965),855
855,POINT (376289.73245264863 4068098.4322471423),856
856,POINT (217203.3192815358 4057800.2898575487),857
857,POINT (317527.2734830614 4040916.4186966512),858
858,POINT (336115.07331611315 4184719.073299044),859
859,POINT (313579.3308596074 4130391.1535106916),860
860,POINT (367113.7669137277 4220621.615490264),861
861,POINT (351630.73287042923 4157274.529520538),862
862,POINT (574529.1959850064 4081225.812541845),863
863,POINT (310175.56323361176 4225093.9577912465),864
864,POINT (234450.59545763856 4128735.7841882035),865
865,POINT (154159.0257073882 4101051.9940140443),866
866,POINT (281194.0508262035 4114387.49534201),867
867,POINT (354664.4204200736 4164894.552630562),868
868,POINT (434268.90438159794 4121338.3806837336),869
869,POINT (453203.18909821025 4201265.087218816),870
870,POINT (592697.6210480725 4161006.1174971582),871
871,POINT (589215.6097229456 4109133.3982452555),872
872,POINT (273083.6899528682 4008695.9926734227),873
873,POINT (275591.2474599629 4008585.8808736275),874
874,POINT (353502.7727116818 4106528.7429519515),875
875,POINT (241592.94371233284 3991859.6969642276),876
876,POINT (366797.091063842 4136125.8287674105),877
877,POINT (251731.4713468825 4081986.4470374063),878
878,POINT (346142.7217565966 4188724.147003638),879
879,POINT (469757.9272239708 4245965.8379341485),880
880,POINT (153230.96670215833 4131562.9884581496),881
881,POINT (327211.2315420706 4213790.017975808),882
882,POINT (232167.4769326702 3961982.1072789645),883
883,POINT (407147.6999549335 4204768.813857713),884
884,POINT (485221.36191500956 4217649.990949595),885
885,POINT (240289.27555724117 4132124.7874978646),886
886,POINT (348379.6912468739 4067847.7987262853),887
887,POINT (415002.8255929047 4177799.1310475934),888
888,POINT (146787.15715659145 4094919.9600755614),889
889,POINT (357602.1786503146 4168510.8953006235),890
890,POINT (376562.64736375277 4247423.491027296),891
891,POINT (355504.9816883651 4166227.174092215),892
892,POINT (346719.41819737625 4118235.9711847487),893
893,POINT (357996.4092363037 4197070.742147565),894
894,POINT (447669.7591510423 4087192.326292375),895
895,POINT (353653.70174180553 4104983.955378823),896
896,POINT (362399.77303590276 4064106.524077376),897
897,POINT (278577.3697455436 4111281.8830304313),898
898,POINT (350296.8291815318 4069580.0393784097),899
899,POINT (345713.34137284855 4201926.8540450195),900
900,POINT (363198.2798516929 4053157.29060474),901
901,POINT (482922.6619695631 4216897.03730555),902
902,POINT (271093.68749359745 4104749.524667885),903
903,POINT (236238.07994100507 4136495.8928641044),904
904,POINT (309931.7459138253 4157443.432396784),905
905,POINT (235717.35396475007 4132156.9211725993),906
906,POINT (352671.45210341585 4090748.2029815624),907
907,POINT (588528.0902537756 4137457.3024224164),908
908,POINT (354798.75588133204 4190835.231993648),909
909,POINT (437573.542225119 4111950.494879221),910
910,POINT (432892.44700694265 4136918.929521173),911
911,POINT (367993.53147385933 4226647.962963275),912
912,POINT (287748.8665557043 4116915.138018513),913
913,POINT (430094.83652013453 4220653.90481256),914
914,POINT (592407.8974679734 4141044.8969876473),915
915,POINT (121332.22148781779 4131056.9063303014),916
916,POINT (433377.08403464884 4224187.79360335),917
917,POINT (331274.068571688 4211590.252734402),918
918,POINT (207213.7957460232 4062274.242397389),919
919,POINT (535939.6291692719 4142934.268041478),920
920,POINT (155446.4881220821 4102360.431966571),921
921,POINT (233467.32800755484 4142583.5346186385),922
922,POINT (420501.1232463672 4181814.709441851),923
923,POINT (217786.83297864057 4132224.619699439),924
924,POINT (352121.59775893117 4150758.0349889016),925
925,POINT (454153.43654899683 4228046.459007506),926
926,POINT (348776.5822078214 4200315.388210059),927
927,POINT (559413.0590981242 4079851.124826022),928
928,POINT (351459.99595796445 4142673.892346588),929
929,POINT (373814.93963899644 4068493.037162618),930
930,POINT (447475.7992184423 4233900.769784359),931
931,POINT (246453.8589801861 4141673.8193488196),932
932,POINT (277853.5200904578 4245635.933491131),933
933,POINT (336913.8332408603 4138042.141259234),934
934,POINT (458725.3607498784 4206967.956235269),935
935,POINT (439714.0237353409 4117386.647508338),936
936,POINT (199954.03827057994 4062647.8362470143),937
937,POINT (366817.2349810597 4147674.9820299493),938
938,POINT (365490.1178094463 4112865.793437058),939
939,POINT (260590.13316112294 4005307.289661007),940
940,POINT (173940.3799885691 4125331.6817836743),941
941,POINT (329615.504304879 4182331.0364286583),942
942,POINT (343270.9161866064 4172381.996200606),943
943,POINT (165911.0325433822 4123457.8178938506),944
944,POINT (355652.29551199457 4142769.2770913797),945
945,POINT (304156.46987413644 4231387.840652039),946
946,POINT (233988.7641923525 3958845.5740970443),947
947,POINT (307003.43081385945 4229297.170294107),948
948,POINT (595441.1307761834 4117221.7541120867),949
949,POINT (341415.3879895493 4125852.551886206),950
950,POINT (222059.47564424743 4131484.3028245494),951
951,POINT (198842.94647818932 4064243.930294979),952
952,POINT (590740.0608753451 4153626.2373168436),953
953,POINT (121264.1888088137 4126475.3638838953),954
954,POINT (349795.17550034187 4199947.108344198),955
955,POINT (418906.27670578886 4211032.632738345),956
956,POINT (362412.49480384734 4143040.906545793),957
957,POINT (243578.83208688392 4066008.264225456),958
958,POINT (561214.6044893432 4078646.826854634),959
959,POINT (221205.01403751998 4065300.476781866),960
960,POINT (198667.2473895871 4127901.275001988),961
961,POINT (378727.5305062774 4068395.312357377),962
962,POINT (413020.27140699833 4169818.630152704),963
963,POINT (302998.24185911025 4174484.5927914414),964
964,POINT (450882.1299505989 4236216.674981117),965
965,POINT (438557.4127447722 4124174.267174359),966
966,POINT (131407.6473659063 4101526.0021981318),967
967,POINT (605147.8330648262 4038686.7593477215),968
968,POINT (311462.7606276543 4224211.460787062),969
969,POINT (441059.18385093 4100784.4595273905),970
970,POINT (339935.1360037886 4128979.8224582225),971
971,POINT (150565.12500865158 4097783.473923254),972
972,POINT (349875.74530941655 4111813.8250366794),973
973,POINT (300620.6886379176 4168786.348693308),974
974,POINT (575792.1202566203 4082195.5498715895),975
975,POINT (593519.1540146928 4125929.7568849926),976
976,POINT (162293.2006613756 4109351.802539245),977
977,POINT (377368.02171686327 4068094.648405338),978
978,POINT (352130.92560464604 4085101.5111285658),979
979,POINT (334406.4639378315 4146090.253368765),980
980,POINT (367499.3016935812 4224060.056841872),981
981,POINT (506858.31272221345 4140099.704813802),982
982,POINT (152942.70026768587 4137659.789440098),983
983,POINT (256538.46786727916 4131497.301738188),984
984,POINT (253092.3292733176 4129889.263971546),985
985,POINT (277947.4659227221 4007880.3983409186),986
986,POINT (239553.09723911688 4130255.4744498986),987
987,POINT (204097.7979425293 4062358.0331022283),988
988,POINT (333814.7652553909 4168279.422350588),989
989,POINT (569517.0654788802 4138073.1629226753),990
990,POINT (335892.9843098156 4139333.467603311),991
991,POINT (307484.6138218761 4172971.761945655),992
992,POINT (617126.1719048072 4032881.7463826444),993
993,POINT (465745.33961768576 4241222.396437461),994
994,POINT (297711.3059426076 4149365.111723287),995
995,POINT (565689.1754723847 4136217.0045922203),996
996,POINT (591039.5788455391 4150304.914998136),997
997,POINT (453149.7113586601 4077642.8925118484),998
998,POINT (235090.4709703013 3975480.618779837),999
999,POINT (561074.3246263204 4137076.719206113),1000
1000,POINT (512435.2651309783 4147426.170662682),1001
1001,POINT (581330.9129875585 4089235.972078078),1002
1002,POINT (283954.24715149926 4242238.701037809),1003
1003,POINT (366318.9423697662 4137078.4013699596),1004
1004,POINT (232443.32735403572 4142373.226855375),1005
1005,POINT (154684.30918674413 4136149.4610438487),1006
1006,POINT (380637.086071125 4181563.121161316),1007
1007,POINT (342386.76301126694 4123462.2078958377),1008
1008,POINT (451725.8521723034 4203074.690765846),1009
1009,POINT (592471.9864941558 4159785.8935280126),1010
1010,POINT (423125.45563027554 4144386.253056799),1011
1011,POINT (595587.3068708543 4119879.0829064576),1012
1012,POINT (210138.62749708764 4130352.249342667),1013
1013,POINT (359192.8866364982 4196913.305537577),1014
1014,POINT (349928.5768804257 4110779.67871318),1015
1015,POINT (283685.7156594389 4160912.4972712854),1016
1016,POINT (448384.6392261201 4218259.46138524),1017
1017,POINT (445937.7754955427 4116944.8027344625),1018
1018,POINT (238564.2617492276 4151435.0189842503),1019
1019,POINT (415013.0210537901 4161988.914667657),1020
1020,POINT (353777.3682766371 4065142.6838528435),1021
1021,POINT (372062.9371231487 4237832.493245781),1022
1022,POINT (247548.38653096606 4073839.2502964684),1023
1023,POINT (240091.71156905795 4030581.562647285),1024
1024,POINT (205194.36169505605 4062484.7714311783),1025
1025,POINT (441774.93298641767 4114393.2593793087),1026
1026,POINT (364378.56178226427 4063355.862550553),1027
1027,POINT (424517.4298608534 4182933.762944626),1028
1028,POINT (136766.72067302762 4136587.714273112),1029
1029,POINT (567656.4142612196 4058654.5983238043),1030
1030,POINT (609034.7676366232 4036803.050272105),1031
1031,POINT (580435.0038193725 4086780.362423361),1032
1032,POINT (332896.2816728679 4044305.1760341027),1033
1033,POINT (241478.84724044535 4139212.909440361),1034
1034,POINT (348468.1704432883 4179816.6689676624),1035
1035,POINT (578363.1549282471 4085158.450031442),1036
1036,POINT (447815.13066551584 4069041.283250207),1037
1037,POINT (449766.0178389806 4219720.922160154),1038
1038,POINT (513386.51550243376 4149185.44606578),1039
1039,POINT (243850.73552965198 4057798.5911173783),1040
1040,POINT (362219.27733339777 4199812.7612702595),1041
1041,POINT (232887.38888770345 4129884.568730518),1042
1042,POINT (600664.0648355616 4040859.7094579996),1043
1043,POINT (445797.47362828726 4113598.752511164),1044
1044,POINT (495225.1873408557 4133102.141333045),1045
1045,POINT (374946.042536498 4183352.51761405),1046
1046,POINT (592977.8567750076 4162124.07182852),1047
1047,POINT (363834.87042578845 4208809.779837371),1048
1048,POINT (563667.9362657844 4078848.9663467812),1049
1049,POINT (290296.0939875793 4238598.87592247),1050
1050,POINT (345182.17045439413 4120843.6043089177),1051
1051,POINT (206987.69979957474 4130252.2272874485),1052
1052,POINT (445465.27070232737 4214862.242788769),1053
1053,POINT (291586.50764566223 4237333.220460722),1054
1054,POINT (468990.2243952253 4243238.639197716),1055
1055,POINT (339341.687487319 4195053.436923685),1056
1056,POINT (416143.3241421261 4178103.6581990253),1057
1057,POINT (569379.0011070684 4079715.610434529),1058
1058,POINT (244588.85899726138 4126918.70569468),1059
1059,POINT (365599.7832253261 4146249.643377747),1060
1060,POINT (417013.71918500605 4212404.0729912035),1061
1061,POINT (418497.26858794555 4153078.809388581),1062
1062,POINT (558967.1859423268 4074916.7136617387),1063
1063,POINT (469788.8747873421 4251272.809468462),1064
1064,POINT (351228.1236833655 4183957.9644070244),1065
1065,POINT (353957.9401009804 4189862.829674545),1066
1066,POINT (348032.3293867209 4189134.635265796),1067
1067,POINT (450666.92924351763 4065764.4567613727),1068
1068,POINT (394052.87639573996 4197199.705143733),1069
1069,POINT (607431.635715591 4037579.969485248),1070
1070,POINT (419936.81548760016 4214965.147497353),1071
1071,POINT (428345.67126989353 4188848.469902754),1072
1072,POINT (359869.6463019674 4143108.7705716817),1073
1073,POINT (222708.05088347304 4137218.08401493),1074
1074,POINT (453308.6754375981 4237508.391905203),1075
1075,POINT (451566.32401399664 4081087.7124741855),1076
1076,POINT (254393.36716655857 4144435.389810911),1077
1077,POINT (243606.34208278634 4059012.385346654),1078
1078,POINT (293872.6684545778 4118841.2856497588),1079
1079,POINT (349594.18426783924 4196712.215204043),1080
1080,POINT (392901.8385198465 4197301.922228298),1081
1081,POINT (414606.54994139256 4163303.699682477),1082
1082,POINT (221102.67381154664 4060580.1019530743),1083
1083,POINT (566468.8273456427 4079613.0861614523),1084
1084,POINT (309402.1931791711 4226063.828767459),1085
1085,POINT (320933.6725102596 4041570.799827328),1086
1086,POINT (339784.52274618857 4170541.149251917),1087
1087,POINT (423673.24349683506 4217685.2651405),1088
1088,POINT (571301.2282015622 4138814.869243974),1089
1089,POINT (249942.7420950479 4079254.9791913866),1090
1090,POINT (412628.03976258636 4207561.601838738),1091
1091,POINT (593198.6493806125 4142891.682471315),1092
1092,POINT (413615.4381276016 4167684.563465955),1093
1093,POINT (362813.8588420541 4174300.2664982933),1094
1094,POINT (353937.07017694076 4092866.3325147694),1095
1095,POINT (303939.0255713592 4170620.410897225),1096
1096,POINT (270594.1378436832 4137128.493817512),1097
1097,POINT (559942.3516931533 4136378.229622108),1098
1098,POINT (253240.34089482485 4083492.274010381),1099
1099,POINT (237187.9123985859 4147881.5675380006),1100
1100,POINT (254111.81186968708 4084414.2042986336),1101
1101,POINT (447559.8984121578 4210377.439066877),1102
1102,POINT (323889.0256274677 4042604.947053676),1103
1103,POINT (466749.6083438995 4253485.744025645),1104
1104,POINT (212576.3651215153 4131663.8606910356),1105
1105,POINT (434287.1347898716 4131809.0241163657),1106
1106,POINT (239844.06073267604 4040471.363800799),1107
1107,POINT (145724.99590680847 4094114.894080737),1108
1108,POINT (432691.9498906803 4209660.634753565),1109
1109,POINT (330342.05435790255 4165926.064603677),1110
1110,POINT (243057.5648651865 4134331.545351509),1111
1111,POINT (243158.4365573015 4053549.324720577),1112
1112,POINT (476159.4695723523 4211313.998543818),1113
1113,POINT (237695.5172558642 4132192.0755808074),1114
1114,POINT (418864.6603947149 4156484.9716997184),1115
1115,POINT (331937.39056686993 4182819.095093678),1116
1116,POINT (432277.2231181508 4135764.286566707),1117
1117,POINT (355934.4988818009 4110703.0739811584),1118
1118,POINT (363419.1969258423 4207712.443740026),1119
1119,POINT (349267.7146900517 4075669.168011076),1120
1120,POINT (172446.12846276068 4125322.88929985),1121
1121,POINT (385971.1989867548 4197345.400254429),1122
1122,POINT (465604.71636794 4254058.246483193),1123
1123,POINT (340918.4097670329 4127351.8680980676),1124
1124,POINT (595033.5630177519 4115471.8632252663),1125
1125,POINT (349631.01007193956 4068761.0672198096),1126
1126,POINT (585443.5868472373 4098111.602482344),1127
1127,POINT (432203.1779172757 4211062.38509626),1128
1128,POINT (500413.9243203614 4137408.0503259967),1129
1129,POINT (368404.51017861627 4227784.78890668),1130
1130,POINT (157329.911483452 4104274.5403541755),1131
1131,POINT (286365.56424835644 4142898.073371812),1132
1132,POINT (141727.2130996462 4138699.98972156),1133
